NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Letras-Português (Licenciatura) (5000898),UFPB,PB,40,"Ensino, apoio e avaliacão",Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.,5.366666666666667,30,1
Letras-Português (Licenciatura) (5000898),UFPB,PB,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.366666666666667,30,1
Letras-Português (Licenciatura) (107548),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.366197183098592,142,12
Pedagogia (Licenciatura) (109626),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.366197183098591,71,17
Pedagogia (Licenciatura) (107356),UFPB,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.365079365079365,63,7
Engenharia de Alimentos (13428),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.363636363636363,22,8
Engenharia Ambiental (113615),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.361111111111111,36,9
Pedagogia (Licenciatura) (107356),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.359375,64,10
História (Licenciatura) (13415),UFPB,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.358974358974359,39,8
História (Licenciatura) (13415),UFPB,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.358974358974359,39,2
Letras-Português (Licenciatura) (109954),UFPB,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.3580246913580245,81,6
Letras-Português (Licenciatura) (107548),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.356643356643357,143,11
Letras-Português (Licenciatura) (5000898),UFPB,PB,67,Infraestrutura,"A instituição promoveu atividades de cultura, de lazer e de interação social.",5.354838709677419,31,1
Pedagogia (Licenciatura) (107356),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.34920634920635,63,14
